Name,latitude,longitude,Ocean,Fate,Date
U-226,44.816667,-41.216667,The Atlantic ocean,Sunk,1943-11-06
U-227,64.666667,-6.666667,The Atlantic ocean,Sunk,1943-04-30
U-228,60.389444,5.33,The North Sea,Scrapped,1944-10-05
U-229,54.6,-36.416667,The Atlantic ocean,Sunk,1943-09-22
U-230,43.125833,5.930556,The Mediterranean Sea,Scuttled,1944-08-12
U-231,41.189324,-21.166605,The Atlantic ocean,Sunk,1944-01-13
U-232,58.790212,-28.917088,The Atlantic ocean,Sunk,1943-07-09
U-233,49.189309,-20.319777,The Atlantic ocean,Sunk,1944-07-05
U-234,43.047085,-70.711725,The Atlantic ocean,Surrendered,1945-05-19
U-235,55.098413,6.200785,The North Sea,Sunk,1945-04-14
U-236,54.616667,10.05,The Baltic Sea,Scuttled,1945-05-05
U-237,54.337337,10.16102,The Baltic Sea,Sunk,1945-04-04
U-238,50.898537,-9.090618,The Atlantic ocean,Sunk,1944-02-09
U-239,54.337337,10.16102,The Barents Sea,Sunk,1944-07-24
U-240,61.363842,1.794819,The North Sea,Missing,1945-05-15
U-241,63.788676,-1.858402,The Atlantic ocean,Sunk,1944-05-18
U-242,52.035833,-5.768889,The Atlantic ocean,Sunk,1945-04-05
U-243,47.1,-6.666667,The Atlantic ocean,Sunk,1944-07-08
U-244,58.496974,-4.688441,The Atlantic ocean,Surrendered,1945-05-14
U-245,60.397297,5.278307,The Norwegian Sea,Surrendered,1945-05-09
U-246,53.666667,-4.883333,The Atlantic ocean,Sunk,1945-03-17
U-247,49.9,-5.816667,The Atlantic ocean,Sunk,1944-09-01
U-248,42.989712,-34.637465,The Atlantic ocean,Sunk,1945-01-16
U-249,50.583363,-2.423352,The Atlantic ocean,Surrendered,1945-05-10
U-250,60.465,28.415,The Baltic Sea,Sunk,1944-07-30
U-251,56.911379,11.396641,The Baltic Sea,Sunk,1945-04-19
U-252,63.545056,-8.221476,The Atlantic ocean,Sunk,1942-04-14
U-253,66.999972,-23.0,The Atlantic ocean,Sunk,1942-09-25
U-254,55.0,-40.0,The Atlantic ocean,Sunk,1942-12-08
U-255,58.496974,-4.688441,The Atlantic ocean,Surrendered,1945-05-17
U-256,60.404818,5.271212,The North Sea,Decommissioned,1944-10-23
U-257,47.316667,-26.0,The Atlantic ocean,Sunk,1944-02-24
U-258,55.116751,-24.101829,The Atlantic ocean,Sunk,1943-05-20
U-259,37.333333,3.083333,The Mediterranean Sea,Sunk,1942-11-15
U-260,51.25,-9.083333,The Atlantic ocean,Sunk,1945-03-12
U-261,59.8333,-9.4667,The Atlantic ocean,Sunk,1942-09-15
U-262,54.330091,10.154507,The Baltic Sea,Stricken,1945-04-02
U-263,45.5,-4.4,The Atlantic ocean,Sunk,1944-01-20
U-264,48.516667,-22.083333,The Atlantic ocean,Sunk,1944-02-19
U-265,56.583333,-22.816667,The Atlantic ocean,Sunk,1943-02-03
U-266,54.265678,-29.88222,The Atlantic ocean,Sunk,1943-05-15
U-267,54.771124,9.858515,The Baltic Sea,Scuttled,1945-05-05
U-268,47.05,-5.933333,The Atlantic ocean,Sunk,1943-02-19
U-269,50.016667,-2.983333,The English channel,Sunk,1944-06-25
U-270,45.5,-4.4,The Atlantic ocean,Sunk,1944-08-13
U-271,53.25,-15.8667,The Atlantic ocean,Sunk,1944-01-28
U-272,54.614645,18.912349,The Baltic Sea,Sunk,1942-11-12
U-273,59.416667,-24.55,The Atlantic ocean,Sunk,1943-05-19
U-274,57.233333,-27.833333,The Atlantic ocean,Sunk,1943-10-23
U-275,50.6,0.066667,The English channel,Sunk,1945-03-10
U-276,54.338899,10.161373,The Baltic Sea,Sunk,1945-05-03
U-277,73.4,15.533333,The Barents Sea,Sunk,1944-05-01
U-278,68.45515,17.439119,The Norwegian Sea,Surrendered,1945-05-09
U-279,60.666667,-26.5,The Atlantic ocean,Sunk,1943-10-04
U-280,49.183333,-27.533333,The Atlantic ocean,Sunk,1943-11-16
U-281,58.102326,8.00591,The North Sea,Surrendered,1945-05-09
U-282,55.466667,-31.95,The Atlantic ocean,Sunk,1943-10-29
U-283,60.75,-12.833333,The Atlantic ocean,Sunk,1944-02-11
U-284,55.066667,-30.383333,The Atlantic ocean,Scuttled,1943-12-21
U-285,50.216667,-12.8,The Atlantic ocean,Sunk,1945-04-15
U-286,69.483333,33.616667,The Barents Sea,Sunk,1945-04-29
U-287,53.833333,8.833333,The Baltic Sea,Sunk,1945-05-16
U-288,66.833871,8.042361,The Atlantic ocean,Sunk,1944-04-03
U-289,73.533333,0.466667,The Barents Sea,Sunk,1944-05-31
U-290,54.79,9.435,The Baltic Sea,Scuttled,1945-05-05
U-291,53.877282,8.709249,The Atlantic ocean,Surrendered,1945-05-05
U-292,62.616667,0.95,The Atlantic ocean,Sunk,1944-05-27
U-293,58.496974,-4.688441,The Atlantic ocean,Surrendered,1945-05-11
U-294,68.45515,17.439119,The Atlantic ocean,Surrendered,1945-05-09
U-295,68.45515,17.439119,The Atlantic ocean,Surrendered,1945-05-09
U-296,55.454543,-6.565574,The Atlantic ocean,Sunk,1945-03-12
U-297,58.7,-3.2,The Atlantic ocean,Sunk,1944-12-06
U-298,60.397297,5.278307,The Atlantic ocean,Surrendered,1945-05-09
U-299,58.102326,8.00591,The North Sea,Surrendered,1945-05-09
U-300,36.483333,-8.333333,The Atlantic ocean,Sunk,1945-02-22
U-301,41.45,7.066667,The Mediterranean Sea,Sunk,1943-01-21
U-302,45.083333,-35.183333,The Atlantic ocean,Sunk,1944-04-06
U-303,42.833333,6.0,The Mediterranean Sea,Sunk,1943-05-21
U-304,54.833333,-37.333333,The Atlantic ocean,Sunk,1943-05-28
U-305,49.0,-18.0,The Atlantic ocean,Sunk,1944-01-16
U-306,43.115611,-33.718225,The Atlantic ocean,Sunk,1943-10-31
U-307,69.4,33.733333,The Barents Sea,Sunk,1945-04-29
U-308,64.466667,-3.15,The Atlantic ocean,Sunk,1943-06-04
