UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,Days_in_service,TotalShipsSunked,Years_in_service,AverageDayPerShip,WarOutCome
U-85,VIIB,1941-06-07,1942-04-14,Sunk,35.916667,-75.216667,311,3,0.85,103.67,Did not survive the War
U-86,VIIB,1941-07-08,1943-11-29,Sunk,40.8667,-18.9,874,3,2.39,291.33,Did not survive the War
U-87,VIIB,1941-08-19,1943-03-04,Sunk,41.6,-13.516667,562,5,1.54,112.4,Did not survive the War
U-88,VIIC,1941-10-15,1942-09-12,Sunk,75.066667,4.816667,332,2,0.91,166,Did not survive the War
U-89,VIIC,1941-11-19,1943-05-12,Sunk,46.5,-25.666667,539,4,1.48,134.75,Did not survive the War
U-90,VIIC,1941-12-20,1942-07-24,Sunk,48.2,-40.933333,216,,0.59,,Did not survive the War
U-91,VIIC,1942-01-28,1944-02-26,Sunk,60.143918,-30.139176,759,5,2.08,151.8,Did not survive the War
U-92,VIIC,1942-03-03,1944-10-04,Scrapped,60.4,5.316667,946,3,2.59,315.33,Did not survive the War
U-93,VIIC,1940-07-30,1942-01-15,Sunk,36.166667,-15.866667,534,8,1.46,66.75,Did not survive the War
U-94,VIIC,1940-08-10,1942-08-28,Sunk,17.666667,-74.5,748,26,2.05,28.77,Did not survive the War
U-95,VIIC,1940-08-31,1941-11-28,Sunk,36.4,-3.333333,454,8,1.24,56.75,Did not survive the War
U-96,VIIC,1940-09-14,1945-03-30,Sunk,53.528611,8.105556,1658,27,4.54,61.41,Did not survive the War
U-97,VIIC,1940-09-28,1943-06-16,Sunk,33.0,34.0,991,16,2.71,61.94,Did not survive the War
U-98,VIIC,1940-10-12,1942-11-15,Sunk,36.15,-7.7,764,11,2.09,69.45,Did not survive the War
U-99,VIIB,1940-04-18,1941-03-17,Sunk,61.0,-12.0,333,38,0.91,8.76,Did not survive the War
U-100,VIIB,1940-05-30,1941-03-17,Sunk,61.066667,-11.5,291,25,0.8,11.64,Did not survive the War
U-101,VIIB,1940-03-11,1945-05-03,Scuttled,54.116667,10.833333,1879,23,5.14,81.7,Survived the war
U-102,VIIB,1940-04-27,1940-07-01,Sunk,48.55,-10.433333,65,1,0.18,65,Did not survive the War
U-103,IXB,1940-07-05,1945-05-03,Scuttled,54.326,10.164,1763,45,4.83,39.18,Survived the war
U-104,IXB,1940-08-19,1940-11-28,Sunk,55.5,-8.0,101,1,0.28,101,Did not survive the War
U-105,IXB,1940-09-10,1943-06-02,Sunk,14.745027,-17.74182,995,23,2.72,43.26,Did not survive the War
U-106,IXB,1940-09-24,1943-08-02,Sunk,43.953369,-4.63962,1042,22,2.85,47.36,Did not survive the War
U-107,IXB,1940-10-08,1944-08-18,Sunk,46.766667,-3.816667,1410,39,3.86,36.15,Did not survive the War
U-108,IXB,1940-10-22,1944-04-11,Scuttled,47.22,-22.4,1267,26,3.47,48.73,Did not survive the War
U-109,IXB,1940-12-05,1943-05-04,Sunk,47.22,-22.4,880,12,2.41,73.33,Did not survive the War
U-110,IXB,1940-11-21,1941-05-09,Captured,60.366667,-33.2,169,3,0.46,56.33,Did not survive the War
U-111,IXB,1940-12-19,1941-10-04,Sunk,27.166667,-20.4,289,4,0.79,72.25,Did not survive the War
U-116,XB,1941-07-26,1942-10-06,Missing,45.0,-31.5,437,1,1.2,437,Did not survive the War
U-117,XB,1941-10-25,1943-08-07,Sunk,39.7,-38.35,651,,1.78,,Did not survive the War
U-118,XB,,1943-06-12,Sunk,30.816667,-28.35,553,4,1.51,138.25,Did not survive the War
U-119,XB,1942-04-02,1943-06-24,Sunk,44.983333,-12.4,448,1,1.23,448,Did not survive the War
U-120,IIB,1940-04-20,1945-05-05,Scuttled,53.55,8.583333,1841,,5.04,,Survived the war
U-121,IIB,1940-05-28,1945-05-05,Scuttled,53.55,8.583333,1803,,4.94,,Survived the war
U-122,IXB,1940-03-30,1940-06-22,Missing,45.5,-4.4,84,1,0.23,84,Did not survive the War
U-123,IXB,1940-05-30,1944-08-19,Scuttled,47.725976,-3.363578,1542,44,4.22,35.05,Did not survive the War
U-124,IXB,1940-06-11,1943-04-02,Sunk,41.033333,-15.65,1025,48,2.81,21.35,Did not survive the War
U-125,IXC,1941-03-03,1943-05-06,Sunk,52.5,-45.333333,794,17,2.17,46.71,Did not survive the War
U-126,IXC,1941-03-22,1943-07-03,Sunk,52.5,-45.333333,833,25,2.28,33.32,Did not survive the War
U-127,IXC,1941-04-24,1941-12-15,Sunk,10.0,-35.583,235,,0.64,,Did not survive the War
U-128,IXC,,1943-05-17,Sunk,10.0,-35.583,816,12,2.23,68,Did not survive the War
U-129,IXC,1941-05-21,1944-08-18,Scuttled,47.725976,-3.363578,1185,29,3.24,40.86,Did not survive the War
U-130,IXC,1941-06-11,1943-03-12,Sunk,37.973749,-36.58919,639,24,1.75,26.63,Did not survive the War
U-131,IXC,1941-07-01,1941-12-17,Scuttled,34.2,-13.583333,169,1,0.46,169,Did not survive the War
U-132,VIIC,1941-05-29,1942-11-04,Sunk,55.5,-40.0,524,9,1.43,58.22,Did not survive the War
