UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-393,VIIC,1943-01-01,1945-05-05,855
U-397,VIIC,1943-01-01,1945-05-05,855
U-428,VIIC,1943-01-01,1945-05-05,855
U-438,VIIC,1941-01-01,1943-05-06,855
U-680,VIIC,1943-01-01,1945-05-05,855
U-717,VIIC,1943-01-01,1945-05-05,855
U-720,VIIC,1943-01-01,1945-05-05,855
U-721,VIIC,1943-01-01,1945-05-05,855
U-746,VIIC,1943-01-01,1945-05-05,855
U-747,VIIC,1943-01-01,1945-05-05,855
U-748,VIIC,1943-01-01,1945-05-05,855
U-750,VIIC,1943-01-01,1945-05-05,855
U-794,XVIIA,1943-01-01,1945-05-05,855
U-903,VIIC,1943-01-01,1945-05-05,855
U-999,VIIC/41,1943-01-01,1945-05-05,855
U-1101,VIIC,1943-01-01,1945-05-05,855
U-1103,VIIC/41,1943-01-01,1945-05-05,855
U-1161,VIIC,1943-01-01,1945-05-05,855
U-1162,VIIC,1943-01-01,1945-05-05,855
U-1193,VIIC,1943-01-01,1945-05-05,855
U-1204,VIIC,1943-01-01,1945-05-05,855
U-1223,IXC/40,1943-01-01,1945-05-05,855
U-1230,IXC/40,1943-01-01,1945-05-05,855
U-1233,IXC/40,1943-01-01,1945-05-05,855
U-792,XVIIA,1943-01-01,1945-05-04,854
U-904,VIIC,1943-01-01,1945-05-04,854
U-1168,VIIC/41,1943-01-01,1945-05-04,854
U-439,VIIC,1941-01-01,1943-05-04,853
U-475,VIIC,1943-01-01,1945-05-03,853
U-659,VIIC,1941-01-01,1943-05-04,853
U-922,VIIC,1943-01-01,1945-05-03,853
U-924,VIIC,1943-01-01,1945-05-03,853
U-1166,VIIC/41,1943-01-01,1945-05-03,853
U-1192,VIIC,1943-01-01,1945-05-03,853
U-1201,VIIC,1943-01-01,1945-05-03,853
U-1205,VIIC,1943-01-01,1945-05-03,853
U-1227,IXC/40,1943-01-01,1945-05-03,853
U-1232,IXC/40,1943-01-01,1945-05-03,853
U-74,VIIB,1940-01-01,1942-05-02,852
U-316,VIIC,1943-01-01,1945-05-02,852
U-959,VIIC,1942-01-01,1944-05-02,852
U-1007,VIIC/41,1943-01-01,1945-05-02,852
U-1170,VIIC/41,1943-01-01,1945-05-02,852
U-1196,VIIC,1943-01-01,1945-05-02,852
U-277,VIIC,1942-01-01,1944-05-01,851
