UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-533,0,653,,1943-10-16,Did not survive the War
U-534,0,1220,,1945-05-05,Survived the war
U-535,0,550,,1943-07-05,Did not survive the War
U-536,0,688,,1943-11-20,Did not survive the War
U-537,0,1044,,1944-11-10,Did not survive the War
U-538,0,689,,1943-11-21,Did not survive the War
U-539,1,1224,1224,1945-05-09,Survived the war
U-54,0,408,,1940-02-13,Did not survive the War
U-540,0,654,,1943-10-17,Did not survive the War
U-541,1,862,862,1945-05-12,Survived the war
U-542,0,331,,1943-11-28,Did not survive the War
U-543,0,548,,1944-07-02,Did not survive the War
U-544,0,380,,1944-01-16,Did not survive the War
U-545,0,405,,1944-02-10,Did not survive the War
U-546,1,844,844,1945-04-24,Did not survive the War
U-547,3,730,243,1944-12-31,Did not survive the War
U-548,1,839,839,1945-04-19,Did not survive the War
U-549,1,514,514,1944-05-29,Did not survive the War
U-55,6,394,65,1940-01-30,Did not survive the War
U-550,1,471,471,1944-04-16,Did not survive the War
U-551,0,447,,1941-03-23,Did not survive the War
U-552,32,1951,60,1945-05-05,Survived the war
U-553,13,1115,85,1943-01-20,Did not survive the War
U-554,0,1951,,1945-05-05,Survived the war
U-555,0,1949,,1945-05-03,Survived the war
U-556,6,543,90,1941-06-27,Did not survive the War
U-557,7,715,102,1941-12-16,Did not survive the War
U-558,18,1296,72,1943-07-20,Did not survive the War
U-559,5,667,133,1942-10-30,Did not survive the War
U-56,4,2679,669,1945-05-03,Survived the war
U-560,0,1583,,1945-05-03,Survived the war
U-561,5,922,184,1943-07-12,Did not survive the War
U-562,6,779,129,1943-02-19,Did not survive the War
U-563,4,880,220,1943-05-31,Did not survive the War
U-564,19,894,47,1943-06-14,Did not survive the War
U-565,5,1368,273,1944-09-30,Did not survive the War
U-566,7,1026,146,1943-10-24,Did not survive the War
U-567,2,354,177,1941-12-21,Did not survive the War
U-568,3,512,170,1942-05-28,Did not survive the War
U-569,1,871,871,1943-05-22,Did not survive the War
U-57,12,2679,223,1945-05-03,Survived the war
U-570,0,238,,1941-08-27,Did not survive the War
U-571,6,1122,187,1944-01-28,Did not survive the War
U-572,6,944,157,1943-08-03,Did not survive the War
U-573,1,578,578,1942-08-02,Did not survive the War
U-574,1,352,352,1941-12-19,Did not survive the War
U-575,9,1167,129,1944-03-13,Did not survive the War
U-576,4,560,140,1942-07-15,Did not survive the War
U-577,0,379,,1942-01-15,Did not survive the War
U-578,5,582,116,1942-08-06,Did not survive the War
U-579,0,1585,,1945-05-05,Survived the war
U-58,7,2679,382,1945-05-03,Survived the war
U-580,0,314,,1941-11-11,Did not survive the War
U-581,1,397,397,1942-02-02,Did not survive the War
U-582,7,642,91,1942-10-05,Did not survive the War
U-583,0,318,,1941-11-15,Did not survive the War
U-584,4,1033,258,1943-10-31,Did not survive the War
U-585,0,453,,1942-03-30,Did not survive the War
U-586,2,1281,640,1944-07-05,Did not survive the War
U-587,5,450,90,1942-03-27,Did not survive the War
U-588,7,576,82,1942-07-31,Did not survive the War
U-589,1,621,621,1942-09-14,Did not survive the War
U-59,19,2679,141,1945-05-03,Survived the war
U-590,1,919,919,1943-07-09,Did not survive the War
U-591,4,940,235,1943-07-30,Did not survive the War
U-592,1,1125,1125,1944-01-31,Did not survive the War
U-593,14,1076,76,1943-12-13,Did not survive the War
U-594,2,885,442,1943-06-05,Did not survive the War
U-595,0,682,,1942-11-14,Did not survive the War
U-596,13,1368,105,1944-09-30,Did not survive the War
U-597,0,649,,1942-10-12,Did not survive the War
U-598,2,933,466,1943-07-23,Did not survive the War
U-599,0,661,,1942-10-24,Did not survive the War
U-6,0,3506,,1944-08-07,Did not survive the War
U-60,3,2316,772,1945-05-05,Survived the war
U-600,5,1058,211,1943-11-25,Did not survive the War
U-601,4,1150,287,1944-02-25,Did not survive the War
U-602,1,838,838,1943-04-19,Did not survive the War
U-603,4,1144,286,1944-02-19,Did not survive the War
U-604,6,952,158,1943-08-11,Did not survive the War
U-605,3,682,227,1942-11-14,Did not survive the War
U-606,3,782,260,1943-02-22,Did not survive the War
U-607,4,923,230,1943-07-13,Did not survive the War
U-608,5,1317,263,1944-08-10,Did not survive the War
U-609,2,766,383,1943-02-06,Did not survive the War
U-61,5,2316,463,1945-05-05,Survived the war
U-610,4,1010,252,1943-10-08,Did not survive the War
U-611,0,341,,1942-12-08,Did not survive the War
U-612,0,1216,,1945-05-01,Did not survive the War
U-613,2,568,284,1943-07-23,Did not survive the War
U-614,1,574,574,1943-07-29,Did not survive the War
U-615,4,583,145,1943-08-07,Did not survive the War
U-616,2,867,433,1944-05-17,Did not survive the War
U-617,11,619,56,1943-09-12,Did not survive the War
U-618,3,956,318,1944-08-14,Did not survive the War
U-619,2,277,138,1942-10-05,Did not survive the War
U-62,2,2316,1158,1945-05-05,Survived the war
U-620,1,408,408,1943-02-13,Did not survive the War
U-621,5,960,192,1944-08-18,Did not survive the War
U-622,0,569,,1943-07-24,Did not survive the War
U-623,0,416,,1943-02-21,Did not survive the War
U-624,8,402,50,1943-02-07,Did not survive the War
U-625,5,799,159,1944-03-10,Did not survive the War
U-626,0,347,,1942-12-14,Did not survive the War
U-627,0,299,,1942-10-27,Did not survive the War
U-628,4,548,137,1943-07-03,Did not survive the War
U-629,0,888,,1944-06-07,Did not survive the War
U-63,1,420,420,1940-02-25,Did not survive the War
U-630,2,490,245,1943-05-06,Did not survive the War
U-631,2,654,327,1943-10-17,Did not survive the War
U-632,2,460,230,1943-04-06,Did not survive the War
U-633,1,431,431,1943-03-08,Did not survive the War
U-634,1,606,606,1943-08-30,Did not survive the War
U-635,0,459,,1943-04-05,Did not survive the War
U-636,1,1206,1206,1945-04-21,Did not survive the War
U-637,1,1224,1224,1945-05-09,Survived the war
U-638,1,489,489,1943-05-05,Did not survive the War
U-639,0,604,,1943-08-28,Did not survive the War
U-64,0,468,,1940-04-13,Did not survive the War
U-640,0,498,,1943-05-14,Did not survive the War
U-641,0,748,,1944-01-19,Did not survive the War
U-642,1,916,916,1944-07-05,Did not survive the War
U-643,0,645,,1943-10-08,Did not survive the War
U-644,0,461,,1943-04-07,Did not survive the War
U-645,2,710,355,1943-12-12,Did not survive the War
U-646,0,501,,1943-05-17,Did not survive the War
U-647,0,573,,1943-07-28,Did not survive the War
U-648,0,690,,1943-11-22,Did not survive the War
U-649,0,419,,1943-02-24,Did not survive the War
U-65,12,483,40,1941-04-28,Did not survive the War
U-650,0,1102,,1945-01-07,Did not survive the War
U-651,2,545,272,1941-06-29,Did not survive the War
U-652,6,517,86,1942-06-02,Did not survive the War
U-653,4,1169,292,1944-03-15,Did not survive the War
U-654,4,598,149,1942-08-22,Did not survive the War
U-655,0,447,,1942-03-24,Did not survive the War
U-656,0,424,,1942-03-01,Did not survive the War
U-657,1,866,866,1943-05-17,Did not survive the War
U-658,3,667,222,1942-10-30,Did not survive the War
U-659,1,853,853,1943-05-04,Did not survive the War
U-66,33,1587,48,1944-05-06,Did not survive the War
U-660,2,680,340,1942-11-12,Did not survive the War
U-661,1,652,652,1942-10-15,Did not survive the War
U-662,3,566,188,1943-07-21,Did not survive the War
U-663,2,492,246,1943-05-08,Did not survive the War
U-664,3,585,195,1943-08-09,Did not survive the War
U-665,1,445,445,1943-03-22,Did not survive the War
U-666,1,770,770,1944-02-10,Did not survive the War
U-667,4,968,242,1944-08-26,Did not survive the War
U-668,0,1224,,1945-05-09,Survived the war
U-669,0,606,,1943-08-30,Did not survive the War
U-67,13,1292,99,1943-07-16,Did not survive the War
U-670,0,596,,1943-08-20,Did not survive the War
U-671,0,946,,1944-08-04,Did not survive the War
U-672,0,564,,1944-07-18,Did not survive the War
U-673,0,662,,1944-10-24,Did not survive the War
U-674,0,487,,1944-05-02,Did not survive the War
